Evento;Fecha;Hora;Latitud;Longitud;Prof. (Km);Inten.;Mag.;Epicentro;Estación;Dist.epic.(km);Aceleración máxima(mg) N-S;Aceleración máxima(mg) V;Aceleración máxima(mg) E-W
es2021uslbg;22/10/2021;15:13:58;28.5611;-17.8447;12;III;3.7;N FUENCALIENTE DE LA PALMA.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.9;1.98;2.42;2.80
es2021usrmh;22/10/2021;18:28:32;28.5592;-17.8376;11;III;3.7;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.4;4.15;6.45;4.66
es2021usurv;22/10/2021;20:05:55;28.5598;-17.8360;11;IV;3.6;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.5;1.72;4.75;1.99
es2021utbbt;22/10/2021;23:19:31;28.5622;-17.8381;11;III-IV;3.4;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.1;2.67;2.54;3.99
es2021utdwp;23/10/2021;00:44:13;28.5610;-17.8296;11;IV;3.9;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.7;6.66;7.65;8.10
es2021utkjg;23/10/2021;04:00:54;28.5769;-17.8241;37;;3.8;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.7;4.61;3.96;2.89
es2021utonk;23/10/2021;06:07:00;28.5602;-17.8315;11;IV;3.9;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.7;6.16;6.25;5.18
es2021utrfj;23/10/2021;07:28:27;28.5754;-17.8160;36;III-IV;4.3;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);13.3;2.15;2.12;3.07
es2021uuhgq;23/10/2021;15:34:49;28.5951;-17.7898;38;IV;4.9;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);14.0;17.24;15.56;17.13
es2021uuuhl;23/10/2021;22:09:47;28.5646;-17.8414;11;III;3.6;N FUENCALIENTE DE LA PALMA.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.7;4.15;2.12;2.83
es2021uvgro;24/10/2021;04:25:16;28.5576;-17.8391;10;;3.6;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.5;2.85;1.50;3.19
es2021uvgzb;24/10/2021;04:34:01;28.5640;-17.8280;11;IV;3.9;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);13.5;5.08;5.00;5.80
