Evento;Fecha;Hora;Latitud;Longitud;Prof. (Km);Inten.;Mag.;Epicentro;Estación;Dist.epic.(km);Aceleración máxima(mg) N-S;Aceleración máxima(mg) V;Aceleración máxima(mg) E-W
es2021vawzx;27/10/2021;06:19:56;28.5854;-17.8099;38;IV-V;4.6;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);13.0;13.33;6.76;10.61
es2021vbbac;27/10/2021;08:21:18;28.5579;-17.8394;12;III;3.5;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.5;2.02;1.49;2.90
es2021vberw;27/10/2021;10:12:56;28.5698;-17.8340;11;III;3.2;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.7;3.37;1.99;2.74
es2021vbmww;27/10/2021;14:21:11;28.5791;-17.8176;37;IV;4.8;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.9;39.16;15.81;22.39
es2021vbnek;27/10/2021;14:30:01;28.5627;-17.8477;14;IV;3.8;N FUENCALIENTE DE LA PALMA.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.6;3.40;4.25;2.77
es2021vbnyx;27/10/2021;14:53:54;28.5575;-17.8337;12;IV;3.5;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.8;3.83;3.57;4.35
es2021vbucs;27/10/2021;18:00:12;28.5595;-17.8323;14;IV;3.8;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.7;7.92;5.25;8.37
es2021vbxcv;27/10/2021;19:31:26;28.5580;-17.8527;13;IV;3.9;N FUENCALIENTE DE LA PALMA.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.8;6.53;4.58;6.74
es2021vbywb;27/10/2021;20:23:59;28.5615;-17.8344;11;IV;3.6;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.4;2.60;4.02;5.32
es2021vcgvf;28/10/2021;00:25:49;28.5618;-17.8212;12;IV;3.5;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);14.1;3.72;5.77;3.54
es2021vcoao;28/10/2021;04:04:01;28.5562;-17.8315;13;III;3.6;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);14.0;3.15;5.73;4.34
es2021vcuou;28/10/2021;07:22:33;28.5593;-17.8357;10;III-IV;3.6;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.5;7.49;6.11;9.51
es2021vcvmb;28/10/2021;07:49:22;28.5534;-17.8388;13;;3.1;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.9;3.09;3.19;5.17
es2021vczit;28/10/2021;09:46:44;28.5585;-17.8380;13;;3.5;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.5;2.17;2.83;2.90
es2021vdgqj;28/10/2021;13:27:48;28.5658;-17.8441;12;IV;3.6;N FUENCALIENTE DE LA PALMA.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.5;3.03;1.99;2.67
es2021vdnel;28/10/2021;16:46:02;28.5567;-17.8386;13;IV;3.5;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.6;3.47;4.21;5.02
es2021vdpii;28/10/2021;17:51:12;28.5605;-17.8394;13;IV;3.7;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.2;3.45;7.06;4.98
es2021vdugv;28/10/2021;20:21:00;28.5844;-17.8243;38;IV;4.2;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.1;8.71;10.74;9.91
es2021veapk;28/10/2021;23:32:47;28.5682;-17.8183;11;III-IV;3.3;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);13.8;1.77;3.95;2.54
es2021veayc;28/10/2021;23:42:58;28.5653;-17.8092;11;IV;3.9;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);14.6;5.70;5.82;7.35
es2021vecng;29/10/2021;00:31:00;28.5640;-17.8239;11;III-IV;3.6;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);13.8;6.21;5.56;6.75
es2021vespk;29/10/2021;08:38:19;28.5726;-17.8373;10;IV;3.7;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.2;2.89;3.56;3.40
es2021veusa;29/10/2021;09:43:14;28.5690;-17.8390;11;III;3.5;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.5;4.35;2.88;3.56
es2021vflbm;29/10/2021;17:57:58;28.5649;-17.8362;12;IV;3.5;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.0;5.11;3.15;5.45
es2021vfswj;29/10/2021;21:54:27;28.5597;-17.8377;11;III;3.2;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.4;2.24;1.41;3.34
es2021vgedm;30/10/2021;03:36:06;28.5760;-17.8301;37;III-IV;4.1;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.4;7.46;6.16;9.38
es2021vgjif;30/10/2021;06:13:10;28.5637;-17.8512;10;II-III;3.7;N FUENCALIENTE DE LA PALMA.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.3;3.21;3.51;3.58
es2021vgjrv;30/10/2021;06:24:23;28.5707;-17.8396;35;IV-V;5.0;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.3;10.21;10.25;13.93
